Module,statements,missing,excluded,branches,partial,coverage
scipy/optimize/_linprog_simplex.py,107,1,0,47,1,99%
scipy/optimize/_linprog_util.py,487,21,0,202,16,95%
scipy/optimize/_lsap.py,3,0,0,0,0,100%
scipy/optimize/_lsq/__init__.py,3,0,0,0,0,100%
scipy/optimize/_lsq/bvls.py,118,5,0,30,6,93%
scipy/optimize/_lsq/common.py,294,27,0,90,5,88%
scipy/optimize/_lsq/dogbox.py,148,4,0,42,5,95%
scipy/optimize/_lsq/least_squares.py,255,12,0,140,11,94%
scipy/optimize/_lsq/lsq_linear.py,81,17,0,56,17,75%
scipy/optimize/_lsq/trf.py,289,21,0,106,20,90%
scipy/optimize/_lsq/trf_linear.py,144,21,0,50,10,82%
scipy/optimize/_minimize.py,226,20,0,162,13,90%
scipy/optimize/_minpack_py.py,283,42,0,124,20,84%
scipy/optimize/_nnls.py,20,3,0,8,3,79%
scipy/optimize/_nonlin.py,629,137,0,278,36,73%
scipy/optimize/_numdiff.py,278,11,0,106,14,93%
scipy/optimize/_optimize.py,1395,157,0,591,67,88%
scipy/optimize/_qap.py,204,1,0,92,3,99%
scipy/optimize/_remove_redundancy.py,173,10,0,42,2,93%
scipy/optimize/_root.py,88,15,0,34,5,82%
scipy/optimize/_root_scalar.py,123,29,0,70,16,74%
scipy/optimize/_shgo.py,610,6,0,280,25,97%
scipy/optimize/_shgo_lib/__init__.py,0,0,0,0,0,100%
scipy/optimize/_shgo_lib/triangulation.py,359,86,0,154,11,72%
scipy/optimize/_slsqp_py.py,193,38,0,84,8,82%
scipy/optimize/_spectral.py,106,9,0,34,10,86%
scipy/optimize/_tnc.py,97,20,0,34,7,78%
scipy/optimize/_trlib/__init__.py,6,0,0,0,0,100%
scipy/optimize/_trustregion.py,153,19,0,64,10,86%
scipy/optimize/_trustregion_constr/__init__.py,2,0,0,0,0,100%
scipy/optimize/_trustregion_constr/canonical_constraint.py,253,12,0,56,6,94%
scipy/optimize/_trustregion_constr/equality_constrained_sqp.py,104,0,0,24,0,100%
scipy/optimize/_trustregion_constr/minimize_trustregion_constr.py,174,9,0,104,13,92%
scipy/optimize/_trustregion_constr/projections.py,163,26,0,44,5,83%
scipy/optimize/_trustregion_constr/qp_subproblem.py,214,11,0,78,7,93%
scipy/optimize/_trustregion_constr/report.py,32,0,0,14,0,100%
scipy/optimize/_trustregion_constr/tests/__init__.py,0,0,0,0,0,100%
scipy/optimize/_trustregion_constr/tests/test_canonical_constraint.py,197,0,0,16,0,100%
scipy/optimize/_trustregion_constr/tests/test_projections.py,128,2,0,36,0,99%
scipy/optimize/_trustregion_constr/tests/test_qp_subproblem.py,330,0,0,16,0,100%
scipy/optimize/_trustregion_constr/tests/test_report.py,18,0,0,6,0,100%
scipy/optimize/_trustregion_constr/tr_interior_point.py,148,5,0,22,6,94%
scipy/optimize/_trustregion_dogleg.py,39,1,0,14,1,96%
scipy/optimize/_trustregion_exact.py,139,2,0,38,2,98%
scipy/optimize/_trustregion_krylov.py,11,2,0,6,2,76%
scipy/optimize/_trustregion_ncg.py,51,4,0,16,3,90%
scipy/optimize/_tstutils.py,205,33,0,52,7,79%
scipy/optimize/_zeros_py.py,465,55,0,204,41,85%
scipy/optimize/cobyla.py,10,5,0,2,0,42%
scipy/optimize/cython_optimize/__init__.py,0,0,0,0,0,100%
scipy/optimize/lbfgsb.py,10,5,0,2,0,42%
scipy/optimize/linesearch.py,10,5,0,2,0,42%
scipy/optimize/minpack.py,10,5,0,2,0,42%
scipy/optimize/minpack2.py,10,5,0,2,0,42%
scipy/optimize/moduleTNC.py,10,5,0,2,0,42%
scipy/optimize/nonlin.py,10,5,0,2,0,42%
scipy/optimize/optimize.py,10,5,0,2,0,42%
scipy/optimize/slsqp.py,10,5,0,2,0,42%
scipy/optimize/tests/__init__.py,0,0,0,0,0,100%
scipy/optimize/tests/test__basinhopping.py,286,0,0,50,1,99%
scipy/optimize/tests/test__differential_evolution.py,688,33,0,40,3,95%
scipy/optimize/tests/test__dual_annealing.py,187,0,0,24,0,100%
scipy/optimize/tests/test__linprog_clean_inputs.py,175,0,0,0,0,100%
scipy/optimize/tests/test__numdiff.py,471,1,0,42,0,99%
scipy/optimize/tests/test__remove_redundancy.py,188,7,0,20,1,94%
scipy/optimize/tests/test__root.py,47,1,0,16,1,97%
scipy/optimize/tests/test__shgo.py,313,15,0,56,2,95%
scipy/optimize/tests/test__spectral.py,127,9,0,12,0,94%
scipy/optimize/tests/test_cobyla.py,81,0,0,8,0,100%
scipy/optimize/tests/test_constraint_conversion.py,144,7,0,116,1,95%
scipy/optimize/tests/test_constraints.py,125,0,0,4,0,100%
scipy/optimize/tests/test_cython_optimize.py,21,0,0,4,0,100%
scipy/optimize/tests/test_differentiable_functions.py,597,0,0,34,0,100%
scipy/optimize/tests/test_hessian_update_strategy.py,98,4,0,36,1,96%
scipy/optimize/tests/test_lbfgsb_hessinv.py,24,0,0,4,0,100%
scipy/optimize/tests/test_lbfgsb_setulb.py,56,1,0,10,1,97%
scipy/optimize/tests/test_least_squares.py,447,1,0,86,1,99%
scipy/optimize/tests/test_linear_assignment.py,72,0,0,16,0,100%
scipy/optimize/tests/test_linesearch.py,206,2,0,58,2,98%
scipy/optimize/tests/test_linprog.py,1220,37,0,238,13,96%
scipy/optimize/tests/test_lsq_common.py,215,0,0,6,0,100%
scipy/optimize/tests/test_lsq_linear.py,136,0,0,28,0,100%
scipy/optimize/tests/test_minimize_constrained.py,414,90,0,108,17,73%
scipy/optimize/tests/test_minpack.py,531,2,0,116,8,98%
scipy/optimize/tests/test_nnls.py,20,0,0,4,0,100%
scipy/optimize/tests/test_nonlin.py,265,4,0,62,8,96%
scipy/optimize/tests/test_optimize.py,1349,10,0,342,9,99%
scipy/optimize/tests/test_quadratic_assignment.py,179,3,0,62,2,98%
scipy/optimize/tests/test_regression.py,22,0,0,10,0,100%
scipy/optimize/tests/test_slsqp.py,307,2,0,56,1,99%
scipy/optimize/tests/test_tnc.py,184,0,0,6,0,100%
scipy/optimize/tests/test_trustregion.py,60,0,0,10,0,100%
scipy/optimize/tests/test_trustregion_exact.py,119,0,0,34,0,100%
scipy/optimize/tests/test_trustregion_krylov.py,63,0,0,12,0,100%
scipy/optimize/tests/test_zeros.py,452,5,0,146,3,99%
scipy/optimize/tnc.py,10,5,0,2,0,42%
scipy/optimize/zeros.py,10,5,0,2,0,42%
scipy/signal/__init__.py,45,2,0,12,3,91%
scipy/signal/_arraytools.py,48,4,0,12,4,87%
scipy/signal/_bsplines.py,200,3,0,66,3,98%
scipy/signal/_czt.py,85,0,0,22,0,100%
scipy/signal/_filter_design.py,1278,77,0,546,60,92%
scipy/signal/_fir_filter_design.py,270,5,0,144,6,97%
scipy/signal/_lti_conversion.py,159,17,0,64,11,87%
scipy/signal/_ltisys.py,916,70,0,390,49,90%
scipy/signal/_max_len_seq.py,31,0,0,16,0,100%
scipy/signal/_peak_finding.py,223,2,0,108,4,98%
scipy/signal/_savitzky_golay.py,80,6,0,34,6,89%
scipy/signal/_signaltools.py,1176,77,0,591,60,92%
scipy/signal/_spectral.py,32,32,0,8,0,0%
scipy/signal/_spectral_py.py,364,29,0,228,22,90%
scipy/signal/_upfirdn.py,41,0,0,6,0,100%
