File,No of assertions
C:\Users\sindh\College\scipy\test_entropy.py,31
C:\Users\sindh\College\scipy\test_fit.py,2
C:\Users\sindh\College\scipy\test_hypotests.py,242
C:\Users\sindh\College\scipy\test_kdeoth.py,51
C:\Users\sindh\College\scipy\test_morestats.py,410
C:\Users\sindh\College\scipy\test_mstats_basic.py,353
C:\Users\sindh\College\scipy\test_mstats_extras.py,25
C:\Users\sindh\College\scipy\test_multivariate.py,316
C:\Users\sindh\College\scipy\test_qmc.py,87
C:\Users\sindh\College\scipy\test_rank.py,30
C:\Users\sindh\College\scipy\test_relative_risk.py,12
C:\Users\sindh\College\scipy\test_sampling.py,23
C:\Users\sindh\College\scipy\test_stats.py,1333
C:\Users\sindh\College\scipy\test_tukeylambda_stats.py,14
C:\Users\sindh\College\scipy\test_variation.py,18
C:\Users\sindh\College\scipy\test_scipy_version.py,1
C:\Users\sindh\College\scipy\test_bunch.py,35
C:\Users\sindh\College\scipy\test_ccallback.py,12
C:\Users\sindh\College\scipy\test_deprecation.py,0
C:\Users\sindh\College\scipy\test_import_cycles.py,0
C:\Users\sindh\College\scipy\test_public_api.py,0
C:\Users\sindh\College\scipy\test_tmpdirs.py,10
C:\Users\sindh\College\scipy\test_warnings.py,0
C:\Users\sindh\College\scipy\test__gcutils.py,14
C:\Users\sindh\College\scipy\test__pep440.py,1
C:\Users\sindh\College\scipy\test__testutils.py,0
C:\Users\sindh\College\scipy\test__threadsafety.py,4
C:\Users\sindh\College\scipy\test__util.py,28
Total number of test.py files : 287
